## This file is a list of handlers, their UUIDs, and the value I found associated with them from the bluetooth hackventures
## Note, there are MANY duplicate UUIDs, we can ignore them.
## the value `#!` mostly indicates an input/output field, though I don't know what they all do.

handle: 0x0001, uuid: 00002800-0000-1000-8000-00805f9b34fb # 00 18
handle: 0x0002, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 03 00 00 2a
handle: 0x0003, uuid: 00002a00-0000-1000-8000-00805f9b34fb # Main
handle: 0x0004, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 05 00 01 2a
handle: 0x0005, uuid: 00002a01-0000-1000-8000-00805f9b34fb # 00 00
handle: 0x0006, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 07 00 02 2a
handle: 0x0007, uuid: 00002a02-0000-1000-8000-00805f9b34fb # 00
handle: 0x0008, uuid: 00002803-0000-1000-8000-00805f9b34fb # 08 09 00 03 2a
handle: 0x0009, uuid: 00002a03-0000-1000-8000-00805f9b34fb #!
handle: 0x000a, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 0b 00 04 2a
handle: 0x000b, uuid: 00002a04-0000-1000-8000-00805f9b34fb # 50 00 a0 00 00 00 e8 03
handle: 0x000c, uuid: 00002800-0000-1000-8000-00805f9b34fb # 01 18
handle: 0x000d, uuid: 00002803-0000-1000-8000-00805f9b34fb # 20 0e 00 05 2a
handle: 0x000e, uuid: 00002a05-0000-1000-8000-00805f9b34fb #!
handle: 0x000f, uuid: 00002902-0000-1000-8000-00805f9b34fb # 00 00
handle: 0x0010, uuid: 00002800-0000-1000-8000-00805f9b34fb # 0a 18
handle: 0x0011, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 12 00 23 2a
handle: 0x0012, uuid: 00002a23-0000-1000-8000-00805f9b34fb # d1 a7 32 00 00 1e 70 48
handle: 0x0013, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 14 00 24 2a
handle: 0x0014, uuid: 00002a24-0000-1000-8000-00805f9b34fb # LSD4BT-P74M070101
handle: 0x0015, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 16 00 25 2a
handle: 0x0016, uuid: 00002a25-0000-1000-8000-00805f9b34fb # Serial Number
handle: 0x0017, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 18 00 26 2a
handle: 0x0018, uuid: 00002a26-0000-1000-8000-00805f9b34fb # Rev02
handle: 0x0019, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 1a 00 27 2a
handle: 0x001a, uuid: 00002a27-0000-1000-8000-00805f9b34fb # Hardware Revision
handle: 0x001b, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 1c 00 28 2a
handle: 0x001c, uuid: 00002a28-0000-1000-8000-00805f9b34fb # v1.0.170508
handle: 0x001d, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 1e 00 29 2a
handle: 0x001e, uuid: 00002a29-0000-1000-8000-00805f9b34fb # Manufacturer Name
handle: 0x001f, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 20 00 2a 2a
handle: 0x0020, uuid: 00002a2a-0000-1000-8000-00805f9b34fb # fe 00 65 78 70 65 72 69 6d 65 6e 74 61 6c
handle: 0x0021, uuid: 00002803-0000-1000-8000-00805f9b34fb # 02 22 00 50 2a
handle: 0x0022, uuid: 00002a50-0000-1000-8000-00805f9b34fb # 01 fe 02 00 00 10 01
handle: 0x0023, uuid: 00002800-0000-1000-8000-00805f9b34fb # 12 ff
handle: 0x0024, uuid: 00002803-0000-1000-8000-00805f9b34fb # 04 25 00 01 ff
handle: 0x0025, uuid: 0000ff01-0000-1000-8000-00805f9b34fb #!
handle: 0x0026, uuid: 00002901-0000-1000-8000-00805f9b34fb # Data In
handle: 0x0027, uuid: 00002803-0000-1000-8000-00805f9b34fb # 10 28 00 02 ff
handle: 0x0028, uuid: 0000ff02-0000-1000-8000-00805f9b34fb #!
handle: 0x0029, uuid: 00002902-0000-1000-8000-00805f9b34fb # 01 00
handle: 0x002a, uuid: 00002901-0000-1000-8000-00805f9b34fb # Data Out
handle: 0x002b, uuid: 00002803-0000-1000-8000-00805f9b34fb #0a 2c 00 03 ff
handle: 0x002c, uuid: 0000ff03-0000-1000-8000-00805f9b34fb # 02
handle: 0x002d, uuid: 00002901-0000-1000-8000-00805f9b34fb # Baundrate
handle: 0x002e, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 2f 00 04 ff
handle: 0x002f, uuid: 0000ff04-0000-1000-8000-00805f9b34fb #'
handle: 0x0030, uuid: 00002901-0000-1000-8000-00805f9b34fb # Link interval
handle: 0x0031, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 32 00 05 ff
handle: 0x0032, uuid: 0000ff05-0000-1000-8000-00805f9b34fb # 000001
handle: 0x0033, uuid: 00002901-0000-1000-8000-00805f9b34fb # Pair Code
handle: 0x0034, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 35 00 06 ff
handle: 0x0035, uuid: 0000ff06-0000-1000-8000-00805f9b34fb # Main
handle: 0x0036, uuid: 00002901-0000-1000-8000-00805f9b34fb # BT name
handle: 0x0037, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 38 00 07 ff
handle: 0x0038, uuid: 0000ff07-0000-1000-8000-00805f9b34fb # 01
handle: 0x0039, uuid: 00002901-0000-1000-8000-00805f9b34fb # Pair Code En
handle: 0x003a, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 3b 00 08 ff
handle: 0x003b, uuid: 0000ff08-0000-1000-8000-00805f9b34fb # a0 00
handle: 0x003c, uuid: 00002901-0000-1000-8000-00805f9b34fb # ADV Interval
handle: 0x003d, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 3e 00 09 ff
handle: 0x003e, uuid: 0000ff09-0000-1000-8000-00805f9b34fb # 02
handle: 0x003f, uuid: 00002901-0000-1000-8000-00805f9b34fb # Tx Power
handle: 0x0040, uuid: 00002803-0000-1000-8000-00805f9b34fb # 0a 41 00 0a ff
handle: 0x0041, uuid: 0000ff0a-0000-1000-8000-00805f9b34fb # 00
handle: 0x0042, uuid: 00002901-0000-1000-8000-00805f9b34fb # MCU Delay
handle: 0x0043, uuid: 00002803-0000-1000-8000-00805f9b34fb # 08 44 00 f0 ff
handle: 0x0044, uuid: 0000fff0-0000-1000-8000-00805f9b34fb #!
handle: 0x0045, uuid: 00002901-0000-1000-8000-00805f9b34fb # Factoryset
handle: 0x0046, uuid: 00002803-0000-1000-8000-00805f9b34fb # 08 47 00 f1 ff
handle: 0x0047, uuid: 0000fff1-0000-1000-8000-00805f9b34fb #!
